game_date,athlete_display_name,team_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,home_away,team_winner
10/8/2025,DeWanna Bonner,Mercury,31,7,11,2,3,9,13,4,6,10,0,0,1,1,5,6,25,FALSE,FALSE,FALSE,home,FALSE
10/8/2025,Kathryn Westbeld,Mercury,6,1,2,0,0,0,0,0,0,0,0,1,0,0,0,-1,2,FALSE,FALSE,FALSE,home,FALSE
10/8/2025,Sami Whitcomb,Mercury,25,0,5,0,4,0,0,1,0,1,3,1,0,1,1,-3,0,FALSE,FALSE,FALSE,home,FALSE
10/8/2025,Kalani Brown,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
10/8/2025,Kitija Laksa,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
10/8/2025,Kiana Williams,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
10/8/2025,Lexi Held,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
10/5/2025,Alyssa Thomas,Mercury,30,5,9,0,0,0,0,3,3,6,5,3,0,3,4,-13,10,TRUE,FALSE,FALSE,away,FALSE
10/5/2025,Natasha Mack,Mercury,19,3,3,0,0,0,0,2,8,10,0,1,1,0,1,4,6,TRUE,FALSE,FALSE,away,FALSE
10/5/2025,Satou Sabally,Mercury,27,7,19,2,9,6,7,0,9,9,2,0,0,2,0,-3,22,TRUE,FALSE,FALSE,away,FALSE
10/5/2025,Kahleah Copper,Mercury,31,9,18,3,8,2,3,2,1,3,0,0,0,2,3,-21,23,TRUE,FALSE,FALSE,away,FALSE
10/5/2025,Monique Akoa Makani,Mercury,27,3,8,0,3,3,4,0,1,1,7,1,0,1,2,-4,9,TRUE,FALSE,FALSE,away,FALSE
10/5/2025,DeWanna Bonner,Mercury,23,1,5,0,2,2,2,0,0,0,1,1,0,0,0,-9,4,FALSE,FALSE,FALSE,away,FALSE
10/5/2025,Kathryn Westbeld,Mercury,17,0,3,0,3,0,0,0,3,3,0,1,0,1,3,-15,0,FALSE,FALSE,FALSE,away,FALSE
10/5/2025,Kalani Brown,Mercury,4,0,1,0,0,2,2,0,0,0,0,1,0,1,0,3,2,FALSE,FALSE,FALSE,away,FALSE
10/5/2025,Sami Whitcomb,Mercury,14,0,3,0,2,0,0,0,0,0,2,1,0,1,0,-13,0,FALSE,FALSE,FALSE,away,FALSE
10/5/2025,Kitija Laksa,Mercury,4,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,0,FALSE,FALSE,FALSE,away,FALSE
10/5/2025,Kiana Williams,Mercury,4,1,1,0,0,0,0,0,1,1,0,0,0,0,1,3,2,FALSE,FALSE,FALSE,away,FALSE
10/5/2025,Lexi Held,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
10/5/2025,NaLyssa Smith,Aces,21,1,4,0,0,1,2,0,5,5,1,1,1,1,2,5,3,TRUE,FALSE,FALSE,home,TRUE
10/5/2025,Kierstan Bell,Aces,7,1,2,0,1,0,0,0,0,0,0,0,0,0,1,-4,2,TRUE,FALSE,FALSE,home,TRUE
10/5/2025,A'ja Wilson,Aces,32,13,23,0,0,2,4,3,11,14,3,1,0,3,2,21,28,TRUE,FALSE,FALSE,home,TRUE
10/5/2025,Chelsea Gray,Aces,35,4,9,1,3,1,2,1,7,8,10,3,3,3,1,14,10,TRUE,FALSE,FALSE,home,TRUE
10/5/2025,Jackie Young,Aces,34,12,20,3,7,5,5,3,5,8,2,1,0,3,2,10,32,TRUE,FALSE,FALSE,home,TRUE
10/5/2025,Cheyenne Parker-Tyus,Aces,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,home,TRUE
10/5/2025,Megan Gustafson,Aces,13,1,3,0,2,0,0,0,0,0,0,0,0,0,2,-3,2,FALSE,FALSE,FALSE,home,TRUE
10/5/2025,Jewell Loyd,Aces,30,3,8,3,7,0,0,2,5,7,0,3,2,0,2,21,9,FALSE,FALSE,FALSE,home,TRUE
10/5/2025,Dana Evans,Aces,26,2,5,1,2,0,0,0,0,0,5,0,0,3,3,1,5,FALSE,FALSE,FALSE,home,TRUE
10/5/2025,Aaliyah Nye,Aces,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,home,TRUE
10/5/2025,Kiah Stokes,Aces,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
10/3/2025,Alyssa Thomas,Mercury,38,7,10,0,0,1,4,0,10,10,9,0,1,5,1,-2,15,TRUE,FALSE,FALSE,away,FALSE
10/3/2025,Natasha Mack,Mercury,16,2,3,0,0,0,0,0,4,4,1,0,2,1,0,8,4,TRUE,FALSE,FALSE,away,FALSE
10/3/2025,Satou Sabally,Mercury,31,6,12,3,7,4,4,2,2,4,4,0,0,2,5,0,19,TRUE,FALSE,FALSE,away,FALSE
10/3/2025,Kahleah Copper,Mercury,36,7,12,5,9,2,2,1,3,4,1,0,0,0,3,0,21,TRUE,FALSE,FALSE,away,FALSE
10/3/2025,Monique Akoa Makani,Mercury,26,3,6,2,3,3,3,0,2,2,3,2,0,3,2,-1,11,TRUE,FALSE,FALSE,away,FALSE
10/3/2025,DeWanna Bonner,Mercury,26,4,13,2,7,0,0,2,6,8,0,1,1,1,3,-12,10,FALSE,FALSE,FALSE,away,FALSE
10/3/2025,Kathryn Westbeld,Mercury,5,0,2,0,2,0,0,0,1,1,2,0,0,0,0,1,0,FALSE,FALSE,FALSE,away,FALSE
10/3/2025,Sami Whitcomb,Mercury,22,2,8,2,8,0,0,1,1,2,0,1,0,0,3,-9,6,FALSE,FALSE,FALSE,away,FALSE
10/3/2025,Kalani Brown,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
10/3/2025,Kitija Laksa,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
10/3/2025,Kiana Williams,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
10/3/2025,Lexi Held,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
10/3/2025,NaLyssa Smith,Aces,16,2,2,0,0,0,4,1,5,6,0,1,0,1,2,-6,4,TRUE,FALSE,FALSE,home,TRUE
10/3/2025,Kierstan Bell,Aces,5,2,3,1,2,0,0,0,1,1,0,0,0,0,0,0,5,TRUE,FALSE,FALSE,home,TRUE
10/3/2025,A'ja Wilson,Aces,38,7,16,0,1,7,9,4,6,10,5,1,2,0,0,2,21,TRUE,FALSE,FALSE,home,TRUE
10/3/2025,Chelsea Gray,Aces,35,2,7,1,4,3,3,0,7,7,10,1,1,1,1,10,8,TRUE,FALSE,FALSE,home,TRUE
10/3/2025,Jackie Young,Aces,32,3,13,0,6,4,4,1,1,2,5,2,0,2,5,-6,10,TRUE,FALSE,FALSE,home,TRUE
10/3/2025,Kiah Stokes,Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,home,TRUE
10/3/2025,Megan Gustafson,Aces,11,1,1,0,0,0,0,0,1,1,1,0,0,0,0,4,2,FALSE,FALSE,FALSE,home,TRUE
10/3/2025,Jewell Loyd,Aces,35,8,16,2,7,0,0,2,2,4,0,0,0,1,4,3,18,FALSE,FALSE,FALSE,home,TRUE
10/3/2025,Dana Evans,Aces,26,8,13,5,6,0,0,0,2,2,3,4,0,0,0,9,21,FALSE,FALSE,FALSE,home,TRUE
10/3/2025,Aaliyah Nye,Aces,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,FALSE,FALSE,FALSE,home,TRUE
10/3/2025,Cheyenne Parker-Tyus,Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/30/2025,Natasha Howard,Fever,33,7,16,0,2,2,2,4,3,7,5,1,0,3,3,-13,16,TRUE,FALSE,FALSE,away,FALSE
9/30/2025,Aliyah Boston,Fever,32,5,12,0,0,1,2,7,9,16,2,0,0,3,6,2,11,TRUE,FALSE,FALSE,away,FALSE
9/30/2025,Odyssey Sims,Fever,41,7,14,1,2,12,13,0,2,2,6,1,0,5,5,-7,27,TRUE,FALSE,FALSE,away,FALSE
9/30/2025,Kelsey Mitchell,Fever,23,4,8,3,3,4,5,1,1,2,2,0,0,2,2,-4,15,TRUE,FALSE,FALSE,away,FALSE
9/30/2025,Lexie Hull,Fever,43,5,12,0,5,2,2,0,7,7,3,0,1,5,1,-9,12,TRUE,FALSE,FALSE,away,FALSE
9/30/2025,Brianna Turner,Fever,23,1,1,0,0,0,0,0,3,3,1,1,0,0,4,-5,2,FALSE,FALSE,FALSE,away,FALSE
9/30/2025,Makayla Timpson,Fever,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,FALSE,FALSE,FALSE,away,FALSE
9/30/2025,Shey Peddy,Fever,22,5,9,3,5,0,0,0,2,2,2,0,0,0,3,-10,13,FALSE,FALSE,FALSE,away,FALSE
9/30/2025,Aerial Powers,Fever,6,1,1,0,0,0,0,0,1,1,0,1,0,1,1,3,2,FALSE,FALSE,FALSE,away,FALSE
9/30/2025,Bree Hall,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
9/30/2025,NaLyssa Smith,Aces,26,2,5,0,0,1,1,0,1,1,0,1,3,1,5,0,5,TRUE,FALSE,FALSE,home,TRUE
9/30/2025,Kierstan Bell,Aces,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,TRUE,FALSE,FALSE,home,TRUE
9/30/2025,A'ja Wilson,Aces,41,13,27,1,1,8,10,1,7,8,5,4,4,1,2,12,35,TRUE,FALSE,FALSE,home,TRUE
9/30/2025,Chelsea Gray,Aces,39,7,12,2,5,1,1,0,2,2,6,3,2,1,2,4,17,TRUE,FALSE,FALSE,home,TRUE
9/30/2025,Jackie Young,Aces,44,10,20,4,11,8,8,1,3,4,10,1,0,0,5,10,32,TRUE,FALSE,FALSE,home,TRUE
9/30/2025,Kiah Stokes,Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,FALSE,FALSE,FALSE,home,TRUE
9/30/2025,Megan Gustafson,Aces,18,2,2,1,1,0,0,0,0,0,2,0,1,0,1,-1,5,FALSE,FALSE,FALSE,home,TRUE
9/30/2025,Jewell Loyd,Aces,32,2,7,2,4,2,2,4,2,6,1,0,0,0,2,12,8,FALSE,FALSE,FALSE,home,TRUE
9/30/2025,Dana Evans,Aces,20,2,7,1,4,0,0,0,0,0,2,0,0,4,3,16,5,FALSE,FALSE,FALSE,home,TRUE
9/30/2025,Cheyenne Parker-Tyus,Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/30/2025,Aaliyah Nye,Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/28/2025,Jessica Shepard,Lynx,36,6,11,0,1,2,2,0,7,7,2,2,0,2,1,5,14,TRUE,FALSE,FALSE,away,FALSE
9/28/2025,Bridget Carleton,Lynx,29,1,2,1,1,0,0,0,3,3,1,2,1,1,4,-8,3,TRUE,FALSE,FALSE,away,FALSE
9/28/2025,Alanna Smith,Lynx,27,4,6,0,1,0,0,2,6,8,1,1,2,1,4,-1,8,TRUE,FALSE,FALSE,away,FALSE
9/28/2025,Kayla McBride,Lynx,38,10,23,6,11,5,5,1,3,4,2,1,1,0,0,-5,31,TRUE,FALSE,FALSE,away,FALSE
9/28/2025,Courtney Williams,Lynx,33,9,22,2,6,0,0,0,3,3,6,2,0,0,3,2,20,TRUE,FALSE,FALSE,away,FALSE
9/28/2025,Maria Kliundikova,Lynx,14,1,6,0,2,0,0,1,5,6,2,0,1,1,2,-6,2,FALSE,FALSE,FALSE,away,FALSE
9/28/2025,Anastasiia Olairi Kosu,Lynx,3,0,0,0,0,0,0,0,1,1,1,0,0,0,1,-4,0,FALSE,FALSE,FALSE,away,FALSE
9/28/2025,Natisha Hiedeman,Lynx,21,1,7,0,2,1,2,0,2,2,4,0,1,1,3,-8,3,FALSE,FALSE,FALSE,away,FALSE
9/28/2025,Napheesa Collier,Lynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
9/28/2025,Camryn Taylor,Lynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
9/28/2025,DiJonai Carrington,Lynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
9/28/2025,Jaylyn Sherrod,Lynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
9/28/2025,Alyssa Thomas,Mercury,37,11,18,0,0,1,3,1,7,8,10,1,0,6,2,6,23,TRUE,FALSE,FALSE,home,TRUE
9/28/2025,Natasha Mack,Mercury,11,1,4,0,0,2,2,2,3,5,1,0,1,1,1,-13,4,TRUE,FALSE,FALSE,home,TRUE
9/28/2025,Satou Sabally,Mercury,36,6,11,3,7,6,9,1,5,6,3,0,0,2,3,10,21,TRUE,FALSE,FALSE,home,TRUE
9/28/2025,Kahleah Copper,Mercury,32,3,12,2,6,5,5,1,3,4,0,0,0,3,0,-6,13,TRUE,FALSE,FALSE,home,TRUE
9/28/2025,Monique Akoa Makani,Mercury,21,1,5,1,2,0,0,0,1,1,2,0,0,0,2,0,3,TRUE,FALSE,FALSE,home,TRUE
9/28/2025,DeWanna Bonner,Mercury,26,4,7,3,4,2,2,0,6,6,1,1,2,0,0,17,13,FALSE,FALSE,FALSE,home,TRUE
9/28/2025,Kathryn Westbeld,Mercury,10,1,3,1,3,0,0,1,3,4,0,0,0,0,0,-5,3,FALSE,FALSE,FALSE,home,TRUE
9/28/2025,Sami Whitcomb,Mercury,27,2,8,1,6,1,2,1,3,4,3,0,0,0,2,16,6,FALSE,FALSE,FALSE,home,TRUE
9/28/2025,Kalani Brown,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/28/2025,Kitija Laksa,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/28/2025,Kiana Williams,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/28/2025,Lexi Held,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/28/2025,NaLyssa Smith,Aces,22,4,5,0,0,0,0,0,2,2,0,0,1,3,5,1,8,TRUE,FALSE,FALSE,away,FALSE
9/28/2025,Kierstan Bell,Aces,6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,TRUE,FALSE,FALSE,away,FALSE
9/28/2025,A'ja Wilson,Aces,36,14,24,0,0,3,6,0,9,9,3,4,3,3,3,-11,31,TRUE,FALSE,FALSE,away,FALSE
9/28/2025,Chelsea Gray,Aces,38,4,13,3,7,1,1,0,2,2,9,4,0,5,5,-8,12,TRUE,FALSE,FALSE,away,FALSE
9/28/2025,Jackie Young,Aces,38,6,10,2,4,4,4,2,3,5,9,0,0,2,5,-5,18,TRUE,FALSE,FALSE,away,FALSE
9/28/2025,Kiah Stokes,Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,away,FALSE
9/28/2025,Megan Gustafson,Aces,15,1,2,0,1,0,0,0,1,1,0,0,0,1,4,-4,2,FALSE,FALSE,FALSE,away,FALSE
9/28/2025,Jewell Loyd,Aces,32,2,8,2,7,0,0,1,2,3,0,1,1,1,1,-10,6,FALSE,FALSE,FALSE,away,FALSE
9/28/2025,Dana Evans,Aces,13,1,4,1,3,0,0,0,0,0,1,0,0,0,0,1,3,FALSE,FALSE,FALSE,away,FALSE
9/28/2025,Cheyenne Parker-Tyus,Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
9/28/2025,Aaliyah Nye,Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
9/28/2025,Natasha Howard,Fever,26,2,6,0,1,3,4,2,1,3,1,0,0,3,3,-1,7,TRUE,FALSE,FALSE,home,TRUE
9/28/2025,Aliyah Boston,Fever,34,7,15,0,0,10,13,4,10,14,5,2,2,2,4,12,24,TRUE,FALSE,FALSE,home,TRUE
9/28/2025,Odyssey Sims,Fever,25,6,9,1,1,5,6,0,1,1,2,1,0,2,2,17,18,TRUE,FALSE,FALSE,home,TRUE
9/28/2025,Kelsey Mitchell,Fever,39,9,20,2,5,5,6,0,3,3,4,0,0,3,3,4,25,TRUE,FALSE,FALSE,home,TRUE
9/28/2025,Lexie Hull,Fever,38,2,12,1,7,2,4,0,7,7,1,4,1,2,3,7,7,TRUE,FALSE,FALSE,home,TRUE
9/28/2025,Brianna Turner,Fever,9,1,1,0,0,0,0,0,1,1,0,1,0,0,0,-2,2,FALSE,FALSE,FALSE,home,TRUE
9/28/2025,Makayla Timpson,Fever,11,0,0,0,0,0,0,2,0,2,0,1,0,1,2,3,0,FALSE,FALSE,FALSE,home,TRUE
9/28/2025,Shey Peddy,Fever,16,3,4,0,1,1,1,0,3,3,1,2,0,1,0,-5,7,FALSE,FALSE,FALSE,home,TRUE
9/28/2025,Aerial Powers,Fever,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,home,TRUE
9/28/2025,Damiris Dantas,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
9/28/2025,Chloe Bibby,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
