game_date,athlete_display_name,team_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,home_away,team_winner
8/17/2025,Aliyah Boston,Fever,36,7,13,0,0,0,0,3,10,13,5,2,2,3,4,12,14,TRUE,FALSE,FALSE,away,TRUE
8/17/2025,Odyssey Sims,Fever,42,6,13,0,1,7,9,1,3,4,7,0,0,4,2,11,19,TRUE,FALSE,FALSE,away,TRUE
8/17/2025,Kelsey Mitchell,Fever,40,11,22,5,8,11,12,1,0,1,6,2,0,3,1,14,38,TRUE,FALSE,FALSE,away,TRUE
8/17/2025,Sophie Cunningham,Fever,10,0,3,0,3,0,0,1,0,1,0,0,0,1,0,-15,0,TRUE,FALSE,FALSE,away,TRUE
8/17/2025,Damiris Dantas,Fever,8,0,3,0,2,0,0,1,0,1,0,0,0,2,2,-6,0,FALSE,FALSE,FALSE,away,TRUE
8/17/2025,Brianna Turner,Fever,14,0,0,0,0,0,0,0,1,1,1,0,1,0,2,10,0,FALSE,FALSE,FALSE,away,TRUE
8/17/2025,Chloe Bibby,Fever,7,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,away,TRUE
8/17/2025,Makayla Timpson,Fever,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-7,2,FALSE,FALSE,FALSE,away,TRUE
8/17/2025,Kyra Lambert,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,away,TRUE
8/17/2025,Lexie Hull,Fever,37,3,8,2,6,0,0,3,4,7,3,2,0,1,3,8,8,FALSE,FALSE,FALSE,away,TRUE
8/17/2025,Sydney Colson,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/17/2025,Aari McDonald,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/17/2025,Caitlin Clark,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/17/2025,Aneesah Morrow,Sun,34,4,9,0,2,2,4,3,8,11,1,2,0,0,4,-5,10,TRUE,FALSE,FALSE,home,FALSE
8/17/2025,Tina Charles,Sun,30,8,18,1,3,4,5,3,3,6,3,1,0,3,4,-12,21,TRUE,FALSE,FALSE,home,FALSE
8/17/2025,Bria Hartley,Sun,23,2,5,0,1,0,0,0,2,2,0,0,0,4,5,7,4,TRUE,FALSE,FALSE,home,FALSE
8/17/2025,Marina Mabrey,Sun,37,11,21,2,6,3,3,0,2,2,5,0,0,3,3,-16,27,TRUE,FALSE,FALSE,home,FALSE
8/17/2025,Leila Lacan,Sun,38,3,6,1,1,0,0,0,4,4,14,3,0,0,4,1,7,TRUE,FALSE,FALSE,home,FALSE
8/17/2025,Aaliyah Edwards,Sun,11,1,3,0,0,3,4,1,2,3,0,0,0,1,3,-1,5,FALSE,FALSE,FALSE,home,FALSE
8/17/2025,Olivia Nelson-Ododa,Sun,15,1,1,0,0,2,4,0,2,2,0,1,0,1,4,6,4,FALSE,FALSE,FALSE,home,FALSE
8/17/2025,Saniya Rivers,Sun,36,6,10,3,4,0,0,0,2,2,2,0,5,2,3,-10,15,FALSE,FALSE,FALSE,home,FALSE
8/17/2025,Haley Peters,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/17/2025,Rayah Marshall,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/17/2025,Lindsay Allen,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/17/2025,Mamignan Toure,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/16/2025,Leonie Fiebich,Liberty,32,3,8,1,3,0,0,3,4,7,4,1,0,1,4,-5,7,TRUE,FALSE,FALSE,away,FALSE
8/16/2025,Jonquel Jones,Liberty,30,7,11,2,4,1,1,0,6,6,2,0,1,3,2,-5,17,TRUE,FALSE,FALSE,away,FALSE
8/16/2025,Emma Meesseman,Liberty,28,4,8,2,3,0,0,0,3,3,3,1,1,0,5,-4,10,TRUE,FALSE,FALSE,away,FALSE
8/16/2025,Natasha Cloud,Liberty,28,4,8,0,2,2,2,0,4,4,6,1,0,1,5,-4,10,TRUE,FALSE,FALSE,away,FALSE
8/16/2025,Sabrina Ionescu,Liberty,33,5,16,2,7,1,2,2,8,10,2,2,0,3,4,-6,13,TRUE,FALSE,FALSE,away,FALSE
8/16/2025,Stephanie Talbot,Liberty,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,FALSE,FALSE,FALSE,away,FALSE
8/16/2025,Kennedy Burke,Liberty,24,4,9,2,4,1,3,1,0,1,2,0,0,2,2,-6,11,FALSE,FALSE,FALSE,away,FALSE
8/16/2025,Marine Johannes,Liberty,23,5,11,2,6,0,0,0,1,1,2,0,0,3,0,2,12,FALSE,FALSE,FALSE,away,FALSE
8/16/2025,Isabelle Harrison,Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
8/16/2025,Breanna Stewart,Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
8/16/2025,Nyara Sabally,Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
8/16/2025,Rebekah Gardner,Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,FALSE
8/16/2025,Jessica Shepard,Lynx,31,5,7,0,0,7,12,2,8,10,2,1,0,1,1,14,17,TRUE,FALSE,FALSE,home,TRUE
8/16/2025,Bridget Carleton,Lynx,19,0,2,0,2,0,0,0,2,2,3,1,0,0,2,8,0,TRUE,FALSE,FALSE,home,TRUE
8/16/2025,Alanna Smith,Lynx,35,6,11,0,2,2,2,3,4,7,2,1,4,3,3,-2,14,TRUE,FALSE,FALSE,home,TRUE
8/16/2025,Kayla McBride,Lynx,34,3,14,2,7,9,13,1,3,4,2,0,0,0,1,1,17,TRUE,FALSE,FALSE,home,TRUE
8/16/2025,Courtney Williams,Lynx,35,10,18,3,6,3,4,0,5,5,5,0,0,3,2,8,26,TRUE,FALSE,FALSE,home,TRUE
8/16/2025,Maria Kliundikova,Lynx,14,1,4,1,1,0,0,0,1,1,1,1,0,0,1,0,3,FALSE,FALSE,FALSE,home,TRUE
8/16/2025,Natisha Hiedeman,Lynx,19,2,4,1,2,0,0,0,2,2,4,3,0,0,0,-4,5,FALSE,FALSE,FALSE,home,TRUE
8/16/2025,DiJonai Carrington,Lynx,13,1,5,0,2,2,2,0,2,2,1,0,0,0,2,5,4,FALSE,FALSE,FALSE,home,TRUE
8/16/2025,Napheesa Collier,Lynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
8/16/2025,Camryn Taylor,Lynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
8/16/2025,Anastasiia Olairi Kosu,Lynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
8/16/2025,Jaylyn Sherrod,Lynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,TRUE
8/15/2025,Nneka Ogwumike,Storm,35,6,14,2,6,2,4,1,7,8,0,0,0,2,3,5,16,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Gabby Williams,Storm,25,5,9,1,4,0,0,0,2,2,2,1,1,0,1,0,11,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Ezi Magbegor,Storm,27,3,7,0,1,1,2,0,6,6,3,2,3,1,3,-13,7,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Skylar Diggins,Storm,34,8,18,2,4,3,3,2,1,3,11,1,1,1,1,6,21,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Brittney Sykes,Storm,34,5,12,1,2,2,3,1,0,1,2,2,1,1,4,5,13,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Dominique Malonga,Storm,19,6,9,0,1,0,1,3,5,8,2,0,0,1,4,12,12,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Erica Wheeler,Storm,18,0,2,0,0,0,0,0,1,1,1,1,0,0,2,-4,0,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Tiffany Mitchell,Storm,9,0,0,0,0,0,0,0,1,1,0,0,0,0,2,-1,0,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Katie Lou Samuelson,Storm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Mackenzie Holmes,Storm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Lexie Brown,Storm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Brionna Jones,Dream,25,7,11,0,0,4,6,5,5,10,2,0,0,1,3,5,18,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Naz Hillmon,Dream,28,3,7,0,2,0,0,2,5,7,0,1,0,1,2,-11,6,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Allisha Gray,Dream,37,4,12,0,2,4,4,0,5,5,4,1,0,4,4,-3,12,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Maya Caldwell,Dream,33,1,3,0,1,0,0,0,3,3,3,1,1,1,2,5,2,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Rhyne Howard,Dream,36,4,10,1,4,12,13,0,2,2,1,1,1,2,5,-3,21,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Nia Coffey,Dream,13,1,2,0,0,2,2,0,7,7,3,0,1,0,0,12,4,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Brittney Griner,Dream,16,5,8,0,0,0,0,0,3,3,0,0,3,1,3,-11,10,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Shatori Walker-Kimbrough,Dream,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Te-Hina Paopao,Dream,12,2,5,1,4,0,0,0,0,0,3,0,0,2,0,1,5,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Taylor Thierry,Dream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Sika Kone,Dream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Jordin Canada,Dream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,NaLyssa Smith,Aces,26,3,7,0,1,1,2,1,8,9,0,0,0,3,4,9,7,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Kierstan Bell,Aces,14,2,6,0,3,0,2,2,0,2,1,2,0,0,1,4,4,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,A'ja Wilson,Aces,34,8,16,0,0,14,15,5,11,16,1,0,2,2,1,7,30,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Chelsea Gray,Aces,36,5,11,0,2,6,6,0,2,2,9,3,2,1,1,8,16,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Jackie Young,Aces,33,7,13,2,5,1,1,2,5,7,5,0,1,1,3,9,17,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Kiah Stokes,Aces,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Jewell Loyd,Aces,29,4,9,2,5,0,0,1,0,1,2,1,0,2,1,0,10,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Dana Evans,Aces,11,0,2,0,1,0,0,0,0,0,1,0,0,2,2,-11,0,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Aaliyah Nye,Aces,11,1,2,0,1,0,0,1,1,2,2,0,0,0,1,-9,2,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Megan Gustafson,Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Alyssa Thomas,Mercury,34,6,11,0,0,3,5,0,6,6,9,3,1,3,4,-7,15,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Natasha Mack,Mercury,22,2,5,0,0,0,0,3,3,6,2,0,1,2,2,5,4,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Satou Sabally,Mercury,30,10,16,3,7,3,4,4,1,5,4,2,1,2,3,-6,26,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Kahleah Copper,Mercury,30,6,15,3,8,0,0,0,3,3,2,0,0,0,3,-5,15,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Monique Akoa Makani,Mercury,32,3,9,2,5,0,0,0,4,4,6,0,0,2,2,0,8,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,DeWanna Bonner,Mercury,24,3,6,1,3,5,5,0,4,4,0,1,0,2,3,5,12,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Kathryn Westbeld,Mercury,10,0,4,0,2,0,0,0,1,1,0,1,0,0,1,-6,0,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Sami Whitcomb,Mercury,18,1,2,1,2,0,0,0,1,1,0,0,0,1,1,-1,3,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Kalani Brown,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Kitija Laksa,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Kiana Williams,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Lexi Held,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Kiki Iriafen,Mystics,31,6,8,1,1,5,6,1,11,12,1,0,1,4,5,-2,18,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Stefanie Dolson,Mystics,15,3,4,1,2,2,2,0,0,0,2,0,0,1,3,11,9,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Sug Sutton,Mystics,33,5,6,0,0,3,4,1,0,1,4,2,0,2,0,0,13,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Sonia Citron,Mystics,31,6,13,3,5,6,6,1,1,2,3,0,0,2,2,19,21,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Jade Melbourne,Mystics,28,1,2,0,1,5,6,0,3,3,5,0,2,3,2,7,7,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Alysha Clark,Mystics,22,4,9,3,5,0,0,0,4,4,0,0,0,0,0,-2,11,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Emily Engstler,Mystics,26,3,9,0,3,1,2,1,6,7,4,3,3,1,5,-5,7,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Madison Scott,Mystics,7,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Lucy Olsen,Mystics,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,-8,2,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Shakira Austin,Mystics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Jacy Sheldon,Mystics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Georgia Amoore,Mystics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Natasha Howard,Fever,26,4,8,0,0,3,4,1,0,1,1,1,0,4,3,-5,11,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Aliyah Boston,Fever,27,8,13,0,0,4,6,4,5,9,1,0,0,1,2,-7,20,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Kelsey Mitchell,Fever,33,6,19,1,6,1,2,0,0,0,9,0,0,1,3,-12,14,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Sophie Cunningham,Fever,28,2,6,2,4,2,2,0,2,2,6,3,0,0,5,1,8,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Lexie Hull,Fever,35,3,8,1,4,0,0,1,4,5,0,3,0,1,1,-1,7,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Damiris Dantas,Fever,12,4,6,2,4,0,0,0,2,2,1,0,0,1,3,4,10,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Makayla Timpson,Fever,13,1,3,0,0,1,2,0,3,3,0,0,1,0,1,-4,3,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Odyssey Sims,Fever,26,5,10,1,3,0,0,1,1,2,3,0,0,1,3,4,11,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Brianna Turner,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Chloe Bibby,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Sydney Colson,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Kyra Lambert,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Aari McDonald,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Caitlin Clark,Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Cecilia Zandalasini,Valkyries,29,7,12,2,4,4,4,0,4,4,3,4,0,0,1,27,20,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Janelle Salaun,Valkyries,29,5,11,3,7,2,2,0,6,6,3,1,0,1,1,15,15,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Temi Fagbenle,Valkyries,21,0,4,0,2,3,3,2,3,5,1,0,1,0,1,15,3,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Tiffany Hayes,Valkyries,28,4,8,2,3,3,5,1,4,5,2,1,1,3,2,10,13,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Veronica Burton,Valkyries,30,3,7,2,4,3,4,2,3,5,2,3,0,1,2,24,11,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Laeticia Amihere,Valkyries,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Iliana Rupert,Valkyries,20,5,6,4,4,0,0,0,2,2,3,0,0,1,2,21,14,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Kaila Charles,Valkyries,8,0,1,0,0,0,0,0,1,1,1,2,0,1,1,13,0,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Kate Martin,Valkyries,11,1,3,1,2,2,2,1,1,2,2,0,0,0,1,0,5,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Kaitlyn Chen,Valkyries,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Carla Leite,Valkyries,19,1,3,0,1,5,5,0,1,1,1,1,0,1,2,26,7,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Kayla Thornton,Valkyries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Monique Billings,Valkyries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Elizabeth Williams,Sky,29,5,12,0,0,0,0,4,1,5,4,0,2,1,0,-24,10,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Kamilla Cardoso,Sky,29,6,9,0,0,2,2,2,2,4,5,0,0,1,4,-14,14,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Rachel Banham,Sky,33,5,13,3,9,2,2,1,4,5,2,0,0,3,3,-18,15,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Ariel Atkins,Sky,29,3,10,1,5,0,0,1,5,6,1,1,0,3,2,-10,7,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Sevgi Uzun,Sky,25,2,7,2,5,0,0,0,2,2,4,1,0,1,4,-12,6,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Michaela Onyenwere,Sky,11,0,2,0,1,2,2,0,1,1,1,0,0,1,0,-19,2,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Maddy Westbeld,Sky,8,0,2,0,0,0,0,1,1,2,1,1,0,1,1,-6,0,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Rebecca Allen,Sky,15,1,6,1,4,0,0,0,0,0,0,0,0,0,1,-24,3,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Kia Nurse,Sky,4,0,1,0,1,0,0,0,1,1,1,0,0,2,2,-7,0,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Hailey Van Lith,Sky,18,1,3,0,2,0,0,0,2,2,1,2,0,1,2,-21,2,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Angel Reese,Sky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Courtney Vandersloot,Sky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
8/15/2025,Dearica Hamby,Sparks,28,7,13,1,1,5,6,5,5,10,4,1,0,3,3,13,20,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Azura Stevens,Sparks,32,5,12,2,5,3,3,1,6,7,1,0,2,0,1,5,15,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Rickea Jackson,Sparks,35,5,17,3,7,2,2,4,1,5,2,1,0,1,5,3,15,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Kelsey Plum,Sparks,34,9,17,3,5,7,10,1,2,3,5,2,0,5,4,0,28,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Julie Allemand,Sparks,36,5,8,2,4,0,0,0,4,4,10,4,0,1,1,4,12,TRUE,FALSE,FALSE,away,TRUE
8/15/2025,Cameron Brink,Sparks,12,0,0,0,0,3,4,2,5,7,0,1,3,1,2,-12,3,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Julie Vanloo,Sparks,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-3,0,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Rae Burrell,Sparks,19,2,7,0,3,0,0,2,1,3,1,2,0,1,1,-5,4,FALSE,FALSE,FALSE,away,TRUE
8/15/2025,Emma Cannon,Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Sania Feagin,Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Alissa Pili,Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Sarah Ashlee Barker,Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/15/2025,Maddy Siegrist,Wings,33,4,9,1,4,6,6,1,2,3,2,1,1,1,3,-2,15,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Luisa Geiselsoder,Wings,17,3,5,3,5,0,0,1,2,3,4,0,1,3,4,-4,9,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Grace Berger,Wings,7,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-13,0,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Paige Bueckers,Wings,33,12,21,0,3,5,5,2,2,4,5,0,1,1,3,-1,29,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Haley Jones,Wings,21,2,7,0,1,0,0,1,1,2,4,0,2,1,2,-12,4,TRUE,FALSE,FALSE,home,FALSE
8/15/2025,Myisha Hines-Allen,Wings,19,4,5,1,1,0,0,2,5,7,3,0,0,1,1,16,9,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Diamond Miller,Wings,13,3,6,0,1,0,0,0,2,2,0,0,0,1,3,-5,6,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Li Yueru,Wings,9,1,4,1,3,0,0,0,1,1,1,0,2,1,1,-10,3,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,Aziaha James,Wings,19,5,9,0,3,0,0,0,3,3,3,2,0,0,0,10,10,FALSE,FALSE,FALSE,home,FALSE
8/15/2025,JJ Quinerly,Wings,30,4,8,3,5,0,0,0,2,2,9,3,0,5,3,16,11,FALSE,FALSE,FALSE,home,FALSE
8/13/2025,Brionna Jones,Dream,21,4,9,0,0,0,0,3,1,4,2,0,0,3,3,-3,8,TRUE,FALSE,FALSE,away,TRUE
8/13/2025,Naz Hillmon,Dream,35,3,6,1,3,0,0,1,7,8,5,1,0,1,2,-6,7,TRUE,FALSE,FALSE,away,TRUE
8/13/2025,Allisha Gray,Dream,39,8,14,3,6,3,7,1,10,11,1,1,0,3,2,4,22,TRUE,FALSE,FALSE,away,TRUE
8/13/2025,Maya Caldwell,Dream,34,4,5,2,3,0,0,0,7,7,1,0,0,1,1,13,10,TRUE,FALSE,FALSE,away,TRUE
8/13/2025,Rhyne Howard,Dream,38,8,18,5,12,4,4,0,1,1,7,2,0,3,2,13,25,TRUE,FALSE,FALSE,away,TRUE
8/13/2025,Nia Coffey,Dream,6,0,2,0,0,0,0,1,1,2,1,0,0,0,1,15,0,FALSE,FALSE,FALSE,away,TRUE
8/13/2025,Brittney Griner,Dream,18,3,7,1,1,4,4,3,5,8,1,0,1,2,2,14,11,FALSE,FALSE,FALSE,away,TRUE
8/13/2025,Shatori Walker-Kimbrough,Dream,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,4,0,FALSE,FALSE,FALSE,away,TRUE
8/13/2025,Te-Hina Paopao,Dream,7,1,2,0,1,0,0,0,0,0,1,0,1,0,0,-4,2,FALSE,FALSE,FALSE,away,TRUE
8/13/2025,Taylor Thierry,Dream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/13/2025,Jordin Canada,Dream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
8/13/2025,Nneka Ogwumike,Storm,36,13,23,1,6,2,2,1,8,9,4,1,0,0,1,8,29,TRUE,FALSE,FALSE,home,FALSE
