model,r2,rmse
GradientBoosting,0.7757847487522319,3.6000351472512584
RandomForest_baseline,0.768467998205582,3.658303049123209
RandomForest_tuned,0.7677537466006619,3.6639414419563314
Ridge,0.6526022068422201,4.481131549057104
LinearRegression,0.6525939529327324,4.481184782893423
Lasso,0.6439417934048906,4.536643635730046
