athlete_display_name,team_name,game_date,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,team_winner,home_away,fg_pct,three_pt_pct,ft_pct
Kathryn Westbeld,Mercury,2025-10-08,6.0,2.0,0,0,1,0,0,1,2,0,0,0.0,0,False,home,0.5,0.3238333333333333,0.7645833333333334
Sami Whitcomb,Mercury,2025-10-08,25.0,0.0,1,3,1,0,1,0,5,0,4,0.0,0,False,home,0.0,0.0,0.8087121212121211
Kalani Brown,Mercury,2025-10-08,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.5784438775510203,0.42857142857142855,0.7627450980392156
Kitija Laksa,Mercury,2025-10-08,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.2826033443680502,0.2387085137085137,0.7515151515151515
Kiana Williams,Mercury,2025-10-08,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.40410052910052907,0.25272108843537416,0.5
Lexi Held,Mercury,2025-10-08,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.4086607836607836,0.33870370370370373,0.8214285714285714
Alyssa Thomas,Mercury,2025-10-05,30.0,10.0,6,5,3,0,3,5,9,0,0,0.0,0,False,away,0.5555555555555556,0.0,0.6755693581780539
Natasha Mack,Mercury,2025-10-05,19.0,6.0,10,0,1,1,0,3,3,0,0,0.0,0,False,away,1.0,0.0,0.48148148148148157
Satou Sabally,Mercury,2025-10-05,27.0,22.0,9,2,0,0,2,7,19,2,9,6.0,7,False,away,0.3684210526315789,0.2222222222222222,0.8571428571428571
Kahleah Copper,Mercury,2025-10-05,31.0,23.0,3,0,0,0,2,9,18,3,8,2.0,3,False,away,0.5,0.375,0.6666666666666666
Monique Akoa Makani,Mercury,2025-10-05,27.0,9.0,1,7,1,0,1,3,8,0,3,3.0,4,False,away,0.375,0.0,0.75
DeWanna Bonner,Mercury,2025-10-05,23.0,4.0,0,1,1,0,0,1,5,0,2,2.0,2,False,away,0.2,0.0,1.0
