athlete_display_name,team_name,game_date,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,team_winner,home_away,fg_pct,three_pt_pct,ft_pct
Aaliyah Edwards,Sun,2025-08-30,21.0,11.0,5,2,0,0,1,3,6,0,0,5.0,8,False,home,0.5,0.0,0.625
Rayah Marshall,Sun,2025-08-30,2.0,1.0,0,0,0,0,0,0,1,0,0,1.0,2,False,home,0.0,0.0,0.5
Saniya Rivers,Sun,2025-08-30,22.0,6.0,3,0,1,0,3,2,11,1,4,1.0,1,False,home,0.18181818181818182,0.25,1.0
Mamignan Toure,Sun,2025-08-30,15.0,8.0,1,0,0,0,1,3,4,2,2,0.0,0,False,home,0.75,1.0,0.0
Olivia Nelson-Ododa,Sun,2025-08-30,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.5246302308802309,0.5,0.7160714285714285
Bria Hartley,Sun,2025-08-30,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.3501890309552848,0.33488266119845067,0.7791666666666667
Natasha Howard,Fever,2025-08-29,29.0,5.0,7,2,3,0,3,1,8,0,1,3.0,4,True,away,0.125,0.0,0.75
Aliyah Boston,Fever,2025-08-29,37.0,22.0,11,4,6,1,4,11,18,0,0,0.0,0,True,away,0.6111111111111112,0.20161290322580644,0.7422842661214755
Odyssey Sims,Fever,2025-08-29,34.0,21.0,6,3,1,0,2,10,20,1,5,0.0,0,True,away,0.5,0.2,0.8219003219003219
Kelsey Mitchell,Fever,2025-08-29,35.0,12.0,2,3,0,0,4,5,14,1,6,1.0,4,True,away,0.35714285714285715,0.16666666666666666,0.25
Lexie Hull,Fever,2025-08-29,27.0,5.0,5,4,2,2,0,2,7,1,1,0.0,0,True,away,0.2857142857142857,1.0,0.7499999999999999
Damiris Dantas,Fever,2025-08-29,2.0,0.0,0,0,0,0,0,0,2,0,1,0.0,0,True,away,0.0,0.0,0.8888888888888888
Brianna Turner,Fever,2025-08-29,13.0,2.0,3,1,0,0,0,1,1,0,0,0.0,0,True,away,1.0,0.0,0.5833333333333334
Shey Peddy,Fever,2025-08-29,8.0,0.0,0,2,0,0,0,0,2,0,2,0.0,0,True,away,0.0,0.0,0.90625
Aerial Powers,Fever,2025-08-29,15.0,9.0,6,2,1,0,2,3,9,2,6,1.0,2,True,away,0.3333333333333333,0.3333333333333333,0.5
Chloe Bibby,Fever,2025-08-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.29819624819624824,0.37912087912087905,0.9333333333333332
Makayla Timpson,Fever,2025-08-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.5819444444444445,0.0,0.6666666666666666
Sydney Colson,Fever,2025-08-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.310989010989011,0.23478260869565218,0.8888888888888888
Sophie Cunningham,Fever,2025-08-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.4353558627752176,0.3923963133640553,0.8771929824561402
Aari McDonald,Fever,2025-08-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.44086759801045516,0.2835714285714286,0.7999999999999999
Caitlin Clark,Fever,2025-08-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.3615432079232984,0.25957375957375955,0.8181818181818182
Dearica Hamby,Sparks,2025-08-29,27.0,11.0,7,2,0,0,6,4,9,0,2,3.0,4,False,home,0.4444444444444444,0.0,0.75
Azura Stevens,Sparks,2025-08-29,31.0,17.0,6,5,2,2,1,6,9,3,5,2.0,3,False,home,0.6666666666666666,0.6,0.6666666666666666
Rickea Jackson,Sparks,2025-08-29,26.0,8.0,3,0,0,0,3,3,10,2,6,0.0,0,False,home,0.3,0.3333333333333333,0.842962962962963
Kelsey Plum,Sparks,2025-08-29,34.0,12.0,3,3,1,0,6,5,10,1,5,1.0,1,False,home,0.5,0.2,1.0
Julie Allemand,Sparks,2025-08-29,23.0,9.0,3,4,0,0,0,4,6,1,3,0.0,0,False,home,0.6666666666666666,0.3333333333333333,0.8055555555555556
Cameron Brink,Sparks,2025-08-29,17.0,4.0,5,0,1,2,2,1,2,0,0,2.0,2,False,home,0.5,0.2885416666666667,1.0
Julie Vanloo,Sparks,2025-08-29,17.0,0.0,1,1,2,0,1,0,1,0,1,0.0,0,False,home,0.0,0.0,0.625
Rae Burrell,Sparks,2025-08-29,19.0,12.0,2,1,1,0,3,4,9,1,3,3.0,4,False,home,0.4444444444444444,0.3333333333333333,0.75
Sarah Ashlee Barker,Sparks,2025-08-29,6.0,2.0,0,1,0,0,0,0,0,0,0,2.0,2,False,home,0.3520812520812522,0.32608695652173914,1.0
Emma Cannon,Sparks,2025-08-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.47648809523809527,0.34259259259259256,0.6818181818181818
Sania Feagin,Sparks,2025-08-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.2916666666666667,0.0,0.0
Alissa Pili,Sparks,2025-08-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.3966666666666666,0.35714285714285715,0.8333333333333334
Myisha Hines-Allen,Wings,2025-08-29,30.0,11.0,6,2,2,0,2,5,14,1,4,0.0,0,False,away,0.35714285714285715,0.25,0.7469135802469135
Maddy Siegrist,Wings,2025-08-29,35.0,23.0,5,0,1,1,2,10,17,3,4,0.0,0,False,away,0.5882352941176471,0.75,0.692156862745098
Diamond Miller,Wings,2025-08-29,21.0,6.0,4,1,0,1,1,3,10,0,3,0.0,1,False,away,0.3,0.0,0.0
Grace Berger,Wings,2025-08-29,33.0,9.0,3,5,0,0,1,3,5,0,0,3.0,3,False,away,0.6,0.05,1.0
Paige Bueckers,Wings,2025-08-29,30.0,16.0,1,10,1,0,4,7,15,0,2,2.0,3,False,away,0.4666666666666667,0.0,0.6666666666666666
Amy Okonkwo,Wings,2025-08-29,25.0,11.0,6,1,1,0,1,4,9,1,4,2.0,2,False,away,0.4444444444444444,0.25,1.0
Christyn Williams,Wings,2025-08-29,14.0,2.0,0,1,0,0,0,1,3,0,1,0.0,0,False,away,0.3333333333333333,0.0,0.6666666666666666
Serena Sundell,Wings,2025-08-29,12.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,False,away,0.0,0.0,0.0
Brionna Jones,Dream,2025-08-29,21.0,16.0,5,2,0,2,1,7,11,0,0,2.0,2,True,home,0.6363636363636364,0.30107526881720426,1.0
Naz Hillmon,Dream,2025-08-29,30.0,4.0,5,3,0,0,2,1,6,0,4,2.0,2,True,home,0.16666666666666666,0.0,1.0
Allisha Gray,Dream,2025-08-29,36.0,19.0,4,5,1,0,0,7,13,1,5,4.0,6,True,home,0.5384615384615384,0.2,0.6666666666666666
Rhyne Howard,Dream,2025-08-29,37.0,24.0,4,5,1,6,1,9,16,6,11,0.0,0,True,home,0.5625,0.5454545454545454,0.8401225211570039
Te-Hina Paopao,Dream,2025-08-29,27.0,14.0,6,8,2,1,2,5,8,4,7,0.0,0,True,home,0.625,0.5714285714285714,0.5714285714285714
Nia Coffey,Dream,2025-08-29,10.0,6.0,3,3,1,0,1,2,4,2,3,0.0,0,True,home,0.5,0.6666666666666666,0.7105263157894737
Sika Kone,Dream,2025-08-29,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.3230769230769231,0.2,0.9166666666666666
Brittney Griner,Dream,2025-08-29,17.0,11.0,1,2,0,0,1,5,8,0,1,1.0,2,True,home,0.625,0.0,0.5
Shatori Walker-Kimbrough,Dream,2025-08-29,2.0,0.0,1,0,0,1,0,0,0,0,0,0.0,0,True,home,0.3236111111111111,0.2638888888888889,0.775
Maya Caldwell,Dream,2025-08-29,19.0,6.0,2,4,1,0,1,2,3,2,2,0.0,0,True,home,0.6666666666666666,1.0,0.8
Michaela Onyenwere,Sky,2025-08-28,15.0,6.0,1,2,0,1,3,2,6,1,3,1.0,1,False,away,0.3333333333333333,0.3333333333333333,1.0
Angel Reese,Sky,2025-08-28,32.0,15.0,20,4,0,2,4,5,11,0,0,5.0,7,False,away,0.45454545454545453,0.15555555555555553,0.7142857142857143
Kamilla Cardoso,Sky,2025-08-28,32.0,15.0,7,4,1,2,2,7,15,0,0,1.0,2,False,away,0.4666666666666667,0.5,0.5
Rachel Banham,Sky,2025-08-28,25.0,13.0,3,1,1,1,4,4,6,3,5,2.0,2,False,away,0.6666666666666666,0.6,1.0
Ariel Atkins,Sky,2025-08-28,32.0,9.0,4,2,0,0,3,4,11,1,3,0.0,0,False,away,0.36363636363636365,0.3333333333333333,0.873904761904762
Elizabeth Williams,Sky,2025-08-28,13.0,2.0,2,1,0,0,0,0,3,0,0,2.0,2,False,away,0.0,0.0,1.0
Rebecca Allen,Sky,2025-08-28,6.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0,False,away,0.28743562638911474,0.306328320802005,0.5966666666666667
Kia Nurse,Sky,2025-08-28,29.0,17.0,1,4,2,0,3,6,8,5,7,0.0,0,False,away,0.75,0.7142857142857143,0.8043478260869565
Sevgi Uzun,Sky,2025-08-28,15.0,2.0,0,1,0,0,1,1,5,0,2,0.0,0,False,away,0.2,0.0,0.6785714285714286
Maddy Westbeld,Sky,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.3635783298826777,0.33666666666666667,0.8333333333333334
Courtney Vandersloot,Sky,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.5079143079143079,0.3,0.8933333333333333
Hailey Van Lith,Sky,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.29744005994005995,0.1568627450980392,0.7651515151515151
Alyssa Thomas,Mercury,2025-08-28,33.0,15.0,9,6,3,1,1,4,6,0,0,7.0,8,True,home,0.6666666666666666,0.0,0.875
Natasha Mack,Mercury,2025-08-28,28.0,10.0,12,3,2,5,0,5,9,0,1,0.0,1,True,home,0.5555555555555556,0.0,0.0
Satou Sabally,Mercury,2025-08-28,27.0,9.0,3,3,1,2,3,3,13,1,4,2.0,2,True,home,0.23076923076923078,0.25,1.0
Kahleah Copper,Mercury,2025-08-28,32.0,28.0,3,1,3,1,2,9,16,4,7,6.0,7,True,home,0.5625,0.5714285714285714,0.8571428571428571
Monique Akoa Makani,Mercury,2025-08-28,20.0,6.0,2,3,2,0,1,3,7,0,0,0.0,0,True,home,0.42857142857142855,0.3568027210884353,0.931159420289855
DeWanna Bonner,Mercury,2025-08-28,29.0,8.0,2,2,5,0,1,2,8,0,3,4.0,4,True,home,0.25,0.0,1.0
Kathryn Westbeld,Mercury,2025-08-28,10.0,2.0,3,0,0,1,0,1,4,0,1,0.0,0,True,home,0.25,0.0,0.7645833333333334
Sami Whitcomb,Mercury,2025-08-28,21.0,5.0,0,3,1,1,1,2,8,1,6,0.0,0,True,home,0.25,0.16666666666666666,0.8087121212121211
Kalani Brown,Mercury,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.5784438775510203,0.42857142857142855,0.7627450980392156
Kitija Laksa,Mercury,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.2826033443680502,0.2387085137085137,0.7515151515151515
Kiana Williams,Mercury,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.40410052910052907,0.25272108843537416,0.5
Lexi Held,Mercury,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.4086607836607836,0.33870370370370373,0.8214285714285714
Nneka Ogwumike,Storm,2025-08-28,27.0,12.0,9,1,1,0,2,3,12,2,7,4.0,4,True,away,0.25,0.2857142857142857,1.0
Gabby Williams,Storm,2025-08-28,30.0,16.0,4,3,1,2,2,5,13,4,5,2.0,2,True,away,0.38461538461538464,0.8,1.0
Ezi Magbegor,Storm,2025-08-28,31.0,8.0,7,2,0,5,0,3,6,1,1,1.0,1,True,away,0.5,1.0,1.0
Skylar Diggins,Storm,2025-08-28,29.0,23.0,3,5,4,0,2,8,14,4,8,3.0,4,True,away,0.5714285714285714,0.5,0.75
Brittney Sykes,Storm,2025-08-28,33.0,8.0,3,5,1,1,0,2,7,0,3,4.0,8,True,away,0.2857142857142857,0.0,0.5
Dominique Malonga,Storm,2025-08-28,22.0,13.0,7,1,0,2,0,6,7,1,1,0.0,0,True,away,0.8571428571428571,1.0,0.573051948051948
Erica Wheeler,Storm,2025-08-28,19.0,13.0,2,3,3,0,2,4,9,4,7,1.0,1,True,away,0.4444444444444444,0.5714285714285714,1.0
Tiffany Mitchell,Storm,2025-08-28,4.0,0.0,0,0,0,0,1,0,1,0,0,0.0,0,True,away,0.0,0.35714285714285715,0.75
Lexie Brown,Storm,2025-08-28,6.0,0.0,0,2,0,0,0,0,1,0,1,0.0,0,True,away,0.0,0.0,0.6666666666666666
Katie Lou Samuelson,Storm,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.0,0.0,0.0
Mackenzie Holmes,Storm,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.6666666666666666,0.0,0.0
Zia Cooke,Storm,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.3546219983719984,0.38784461152882205,0.675
Bridget Carleton,Lynx,2025-08-28,25.0,3.0,4,0,0,0,0,1,3,1,2,0.0,0,False,home,0.3333333333333333,0.5,0.7678571428571429
Alanna Smith,Lynx,2025-08-28,24.0,8.0,5,3,0,2,2,3,7,1,4,1.0,1,False,home,0.42857142857142855,0.25,1.0
Napheesa Collier,Lynx,2025-08-28,35.0,18.0,9,2,1,1,3,7,23,0,5,4.0,5,False,home,0.30434782608695654,0.0,0.8
Kayla McBride,Lynx,2025-08-28,35.0,20.0,3,2,0,0,2,7,13,5,8,1.0,2,False,home,0.5384615384615384,0.625,0.5
Courtney Williams,Lynx,2025-08-28,31.0,18.0,5,10,0,0,2,7,12,2,4,2.0,2,False,home,0.5833333333333334,0.5,1.0
Jessica Shepard,Lynx,2025-08-28,11.0,2.0,4,1,0,0,3,1,2,0,0,0.0,0,False,home,0.5,0.0,0.5963464696223316
Maria Kliundikova,Lynx,2025-08-28,10.0,0.0,1,0,1,1,1,0,0,0,0,0.0,0,False,home,0.4400412858746192,0.26666666666666666,0.5909090909090909
Camryn Taylor,Lynx,2025-08-28,1.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,False,home,0.08333333333333333,0.25,0.0
Anastasiia Olairi Kosu,Lynx,2025-08-28,1.0,0.0,0,0,0,0,0,0,1,0,0,0.0,0,False,home,0.0,0.0,0.5555555555555555
Natisha Hiedeman,Lynx,2025-08-28,15.0,4.0,2,2,2,0,1,1,3,0,1,2.0,4,False,home,0.3333333333333333,0.0,0.5
DiJonai Carrington,Lynx,2025-08-28,13.0,6.0,3,0,1,0,0,3,4,0,0,0.0,0,False,home,0.75,0.3255952380952381,0.8
Jaylyn Sherrod,Lynx,2025-08-28,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.28541666666666665,0.23809523809523808,0.7666666666666666
Alysha Clark,Mystics,2025-08-28,27.0,2.0,4,4,1,0,0,1,4,0,2,0.0,0,False,away,0.25,0.0,0.7833333333333332
Shakira Austin,Mystics,2025-08-28,22.0,7.0,5,2,0,1,2,3,11,0,1,1.0,2,False,away,0.2727272727272727,0.0,0.5
Kiki Iriafen,Mystics,2025-08-28,33.0,16.0,4,0,1,0,1,7,11,0,1,2.0,2,False,away,0.6363636363636364,0.0,1.0
Sug Sutton,Mystics,2025-08-28,20.0,2.0,2,3,0,0,4,1,4,0,3,0.0,0,False,away,0.25,0.0,0.7850877192982456
Sonia Citron,Mystics,2025-08-28,32.0,18.0,3,1,1,2,1,7,14,4,7,0.0,0,False,away,0.5,0.5714285714285714,0.8855921855921858
Emily Engstler,Mystics,2025-08-28,15.0,5.0,1,4,0,0,0,2,7,0,3,1.0,2,False,away,0.2857142857142857,0.0,0.5
Stefanie Dolson,Mystics,2025-08-28,10.0,0.0,2,0,1,0,0,0,1,0,1,0.0,0,False,away,0.0,0.0,0.7222222222222222
Madison Scott,Mystics,2025-08-28,3.0,2.0,0,1,0,0,0,1,1,0,0,0.0,0,False,away,1.0,0.0,1.0
Lucy Olsen,Mystics,2025-08-28,17.0,9.0,1,2,0,0,0,4,8,1,4,0.0,0,False,away,0.5,0.25,0.8541666666666666
Jade Melbourne,Mystics,2025-08-28,20.0,2.0,0,0,0,0,2,1,4,0,2,0.0,0,False,away,0.25,0.0,0.6826923076923077
Jacy Sheldon,Mystics,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.4868562472010748,0.3603448275862069,0.8454545454545456
Georgia Amoore,Mystics,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.0,0.0,0.0
Breanna Stewart,Liberty,2025-08-28,24.0,12.0,9,1,1,0,1,4,9,1,3,3.0,4,True,home,0.4444444444444444,0.3333333333333333,0.75
Kennedy Burke,Liberty,2025-08-28,28.0,7.0,2,3,0,0,1,1,5,0,2,5.0,6,True,home,0.2,0.0,0.8333333333333334
Leonie Fiebich,Liberty,2025-08-28,28.0,6.0,3,1,0,0,1,1,3,0,1,4.0,4,True,home,0.3333333333333333,0.0,1.0
Emma Meesseman,Liberty,2025-08-28,28.0,15.0,5,5,2,0,0,6,9,1,1,2.0,2,True,home,0.6666666666666666,1.0,1.0
Marine Johannes,Liberty,2025-08-28,29.0,14.0,1,5,0,0,1,4,10,3,8,3.0,3,True,home,0.4,0.375,1.0
Isabelle Harrison,Liberty,2025-08-28,20.0,16.0,5,2,1,0,0,6,13,2,2,2.0,2,True,home,0.46153846153846156,1.0,1.0
Stephanie Talbot,Liberty,2025-08-28,26.0,11.0,7,6,2,0,2,3,4,2,3,3.0,5,True,home,0.75,0.6666666666666666,0.6
Rebekah Gardner,Liberty,2025-08-28,18.0,8.0,3,0,1,0,1,3,3,1,1,1.0,2,True,home,1.0,1.0,0.5
Jonquel Jones,Liberty,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.48841750569691744,0.3643873802964713,0.7677489177489178
Nyara Sabally,Liberty,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.4575892857142857,0.125,0.7404761904761905
Natasha Cloud,Liberty,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.41932481511358516,0.33648947951273533,0.87
Sabrina Ionescu,Liberty,2025-08-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.3939796719683217,0.2863017934446506,0.9344525844525845
Aneesah Morrow,Sun,2025-08-27,30.0,11.0,11,3,2,0,0,4,7,0,0,3.0,3,True,away,0.5714285714285714,0.25468749999999996,1.0
Tina Charles,Sun,2025-08-27,27.0,18.0,5,3,0,1,1,6,13,0,0,6.0,6,True,away,0.46153846153846156,0.23611111111111108,1.0
Bria Hartley,Sun,2025-08-27,26.0,8.0,3,6,1,0,2,2,5,0,2,4.0,4,True,away,0.4,0.0,1.0
Marina Mabrey,Sun,2025-08-27,30.0,18.0,4,2,1,0,2,4,11,2,5,8.0,9,True,away,0.36363636363636365,0.4,0.8888888888888888
Leila Lacan,Sun,2025-08-27,32.0,22.0,3,6,4,0,2,9,14,2,4,2.0,3,True,away,0.6428571428571429,0.5,0.6666666666666666
Haley Peters,Sun,2025-08-27,4.0,0.0,0,0,0,0,0,0,4,0,2,0.0,0,True,away,0.0,0.0,0.7142857142857143
Aaliyah Edwards,Sun,2025-08-27,7.0,0.0,1,0,0,0,1,0,0,0,0,0.0,0,True,away,0.430204081632653,0.0,0.6256666666666666
Olivia Nelson-Ododa,Sun,2025-08-27,13.0,8.0,3,1,0,0,1,2,3,0,0,4.0,4,True,away,0.6666666666666666,0.5,1.0
Lindsay Allen,Sun,2025-08-27,2.0,0.0,1,0,1,0,0,0,0,0,0,0.0,0,True,away,0.39544513457556935,0.14102564102564102,0.8645833333333334
Saniya Rivers,Sun,2025-08-27,25.0,11.0,1,1,0,1,3,4,9,3,6,0.0,0,True,away,0.4444444444444444,0.5,0.75
Mamignan Toure,Sun,2025-08-27,5.0,5.0,0,0,0,0,0,2,3,1,2,0.0,0,True,away,0.6666666666666666,0.5,0.0
Rayah Marshall,Sun,2025-08-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.2484848484848485,0.0,0.5625
Maddy Siegrist,Wings,2025-08-27,34.0,15.0,2,3,0,0,2,6,9,0,1,3.0,5,False,home,0.6666666666666666,0.0,0.6
Luisa Geiselsoder,Wings,2025-08-27,14.0,4.0,3,1,1,0,2,2,6,0,2,0.0,0,False,home,0.3333333333333333,0.0,0.7
Grace Berger,Wings,2025-08-27,29.0,5.0,7,6,1,0,0,2,6,0,1,1.0,1,False,home,0.3333333333333333,0.0,1.0
Aziaha James,Wings,2025-08-27,33.0,22.0,5,6,1,0,1,9,19,3,7,1.0,1,False,home,0.47368421052631576,0.42857142857142855,1.0
Haley Jones,Wings,2025-08-27,28.0,12.0,6,5,1,0,2,6,9,0,1,0.0,0,False,home,0.6666666666666666,0.0,0.5818681318681319
Myisha Hines-Allen,Wings,2025-08-27,23.0,18.0,7,0,1,2,2,6,12,1,3,5.0,6,False,home,0.5,0.3333333333333333,0.8333333333333334
Amy Okonkwo,Wings,2025-08-27,23.0,14.0,1,2,2,1,1,5,10,2,6,2.0,2,False,home,0.5,0.3333333333333333,1.0
Diamond Miller,Wings,2025-08-27,14.0,5.0,2,1,0,0,2,2,4,0,1,1.0,2,False,home,0.5,0.0,0.5
Serena Sundell,Wings,2025-08-27,2.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,False,home,0.0,0.0,0.0
NaLyssa Smith,Aces,2025-08-27,17.0,2.0,3,0,0,2,0,1,5,0,1,0.0,0,True,away,0.2,0.0,0.5490514905149052
Kierstan Bell,Aces,2025-08-27,21.0,5.0,2,3,1,0,1,2,7,1,3,0.0,0,True,away,0.2857142857142857,0.3333333333333333,0.75
A'ja Wilson,Aces,2025-08-27,35.0,34.0,9,1,1,4,1,13,21,2,3,6.0,8,True,away,0.6190476190476191,0.6666666666666666,0.75
Chelsea Gray,Aces,2025-08-27,33.0,14.0,3,5,1,0,2,5,11,3,5,1.0,1,True,away,0.45454545454545453,0.6,1.0
Jackie Young,Aces,2025-08-27,35.0,10.0,11,10,0,0,1,5,10,0,2,0.0,0,True,away,0.5,0.0,0.857010582010582
Kiah Stokes,Aces,2025-08-27,5.0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,True,away,0.3108843537414966,0.14705882352941177,0.625
Jewell Loyd,Aces,2025-08-27,33.0,14.0,2,3,1,0,2,5,9,2,5,2.0,2,True,away,0.5555555555555556,0.4,1.0
Dana Evans,Aces,2025-08-27,18.0,2.0,0,4,0,0,0,1,4,0,2,0.0,0,True,away,0.25,0.0,0.8
Aaliyah Nye,Aces,2025-08-27,3.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.298234126984127,0.24211711711711714,0.84375
Megan Gustafson,Aces,2025-08-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.37866666666666665,0.32575757575757575,0.5166666666666667
Brionna Jones,Dream,2025-08-27,30.0,19.0,6,1,2,1,1,9,13,0,0,1.0,1,False,home,0.6923076923076923,0.30107526881720426,1.0
Naz Hillmon,Dream,2025-08-27,34.0,7.0,15,3,0,1,0,2,5,0,1,3.0,4,False,home,0.4,0.0,0.75
Allisha Gray,Dream,2025-08-27,37.0,15.0,5,2,0,0,2,6,17,1,7,2.0,2,False,home,0.35294117647058826,0.14285714285714285,1.0
Rhyne Howard,Dream,2025-08-27,38.0,19.0,4,7,2,0,0,7,22,2,10,3.0,4,False,home,0.3181818181818182,0.2,0.75
Te-Hina Paopao,Dream,2025-08-27,24.0,5.0,2,3,0,0,1,2,6,1,5,0.0,0,False,home,0.3333333333333333,0.2,0.5714285714285714
Nia Coffey,Dream,2025-08-27,6.0,2.0,2,1,0,0,0,1,1,0,0,0.0,0,False,home,1.0,0.2131336405529954,0.7105263157894737
Brittney Griner,Dream,2025-08-27,10.0,2.0,5,0,0,1,3,1,5,0,0,0.0,0,False,home,0.2,0.29411764705882354,0.7540229885057471
Maya Caldwell,Dream,2025-08-27,21.0,6.0,4,3,0,0,2,2,6,0,1,2.0,2,False,home,0.3333333333333333,0.0,1.0
Sika Kone,Dream,2025-08-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.3230769230769231,0.2,0.9166666666666666
Shatori Walker-Kimbrough,Dream,2025-08-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.3236111111111111,0.2638888888888889,0.775
Alyssa Thomas,Mercury,2025-08-26,35.0,12.0,16,15,3,0,5,5,9,0,0,2.0,4,True,away,0.5555555555555556,0.0,0.5
Natasha Mack,Mercury,2025-08-26,15.0,4.0,3,0,2,1,0,2,4,0,0,0.0,0,True,away,0.5,0.0,0.48148148148148157
Satou Sabally,Mercury,2025-08-26,34.0,19.0,3,2,1,0,0,5,11,2,4,7.0,7,True,away,0.45454545454545453,0.5,1.0
Kahleah Copper,Mercury,2025-08-26,28.0,18.0,1,3,0,0,3,8,15,0,4,2.0,2,True,away,0.5333333333333333,0.0,1.0
Monique Akoa Makani,Mercury,2025-08-26,17.0,0.0,2,0,0,0,2,0,3,0,2,0.0,0,True,away,0.0,0.0,0.931159420289855
DeWanna Bonner,Mercury,2025-08-26,26.0,14.0,5,3,1,0,1,5,13,2,4,2.0,2,True,away,0.38461538461538464,0.5,1.0
Kathryn Westbeld,Mercury,2025-08-26,12.0,6.0,0,0,0,0,0,2,3,2,3,0.0,0,True,away,0.6666666666666666,0.6666666666666666,0.7645833333333334
Sami Whitcomb,Mercury,2025-08-26,29.0,17.0,2,4,4,0,2,5,9,5,7,2.0,3,True,away,0.5555555555555556,0.7142857142857143,0.6666666666666666
Lexi Held,Mercury,2025-08-26,4.0,2.0,0,1,0,0,0,1,2,0,1,0.0,0,True,away,0.5,0.0,0.8214285714285714
Kalani Brown,Mercury,2025-08-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.5784438775510203,0.42857142857142855,0.7627450980392156
Kitija Laksa,Mercury,2025-08-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.2826033443680502,0.2387085137085137,0.7515151515151515
Kiana Williams,Mercury,2025-08-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.40410052910052907,0.25272108843537416,0.5
Dearica Hamby,Sparks,2025-08-26,31.0,25.0,8,2,5,0,3,9,12,0,0,7.0,9,False,home,0.75,0.2857142857142857,0.7777777777777778
Azura Stevens,Sparks,2025-08-26,25.0,5.0,4,3,0,0,2,2,5,1,2,0.0,0,False,home,0.4,0.5,0.8008620689655171
Rickea Jackson,Sparks,2025-08-26,27.0,21.0,3,1,1,1,3,7,11,4,7,3.0,3,False,home,0.6363636363636364,0.5714285714285714,1.0
Kelsey Plum,Sparks,2025-08-26,37.0,20.0,0,4,1,0,2,7,14,2,7,4.0,4,False,home,0.5,0.2857142857142857,1.0
Julie Allemand,Sparks,2025-08-26,34.0,0.0,4,6,0,0,2,0,6,0,3,0.0,0,False,home,0.0,0.0,0.8055555555555556
Cameron Brink,Sparks,2025-08-26,14.0,4.0,5,2,0,1,2,2,5,0,1,0.0,0,False,home,0.4,0.0,0.75
